class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023202,PHA3403,Barragens e Estruturas Hidráulicas,José Carlos de Melo Bernardino,2023-08-07,2023-12-21,civil-manual,sex,09:20,11:00,Civil,S14,
2023213,PEF3405,Engenharia Geotécnica e de Fundações,Pedro Wellington Gonçalves do Nascimento Teixeira,2023-08-07,2023-12-21,civil-manual,sex,14:00,16:40,Civil,S10,
2023201,PTR3311,Geomática II,(R) Mariana Abrantes Giannotti,2023-08-07,2023-12-21,civil-manual,sex,07:30,08:20,Civil,S13,
2023202,PTR3311,Geomática II,(R) Mariana Abrantes Giannotti,2023-08-07,2023-12-21,civil-manual,sex,09:20,10:10,Civil,S13,
2023211,PTR3311,Geomática II,(R) Mariana Abrantes Giannotti,2023-08-07,2023-12-21,civil-manual,sex,08:20,09:10,Civil,S13,
2023221,PTR3311,Geomática II,Yuri Veneziani,2023-08-07,2023-12-21,civil-manual,sex,10:10,11:00,Civil,S13,
2023201,PCC3110,Metodologia Científica e Tecnológica,(R) Cheng Liang Yee,2023-08-07,2023-12-21,civil-manual,sex,13:10,14:50,Civil,S21,
2023202,PCC3110,Metodologia Científica e Tecnológica,Fernando,2023-08-07,2023-12-21,civil-manual,sex,13:10,14:50,Civil,S14,
2023201,PCC3530,Prototipagem rápida e manufatura digital para construção,(R) Cheng Liang Yee,2023-08-07,2023-12-21,civil-manual,sex,08:20,11:00,Civil,S19,
2023201,PTR3322,Pavimentação Rodoviária,(R) Jose Tadeu Balbo,2023-08-07,2023-12-21,civil-manual,sex,07:30,09:10,Civil,S22,
2023202,PTR3322,Pavimentação Rodoviária,(R) Jose Tadeu Balbo,2023-08-07,2023-12-21,civil-manual,sex,09:20,11:00,Civil,S22,
2023250,PHA3523,Tecnologias de Remediação de Áreas Contaminadas,Rachel Biancalana Costa,2023-08-07,2023-12-21,civil-manual,sex,07:30,11:00,Civil,S26,
2023251,PHA3523,Tecnologias de Remediação de Áreas Contaminadas,osé Carlos Mierzwa,2023-08-07,2023-12-21,civil-manual,sex,07:30,11:00,Civil,S24,
