class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023205,PCS3115,Sistemas Digitais I,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,14:50,eletrica,GD-06,0
2023201,PEA3390,Eletricidade Aplicada I,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,09:10,eletrica,C1-30,0
2023201,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,qua,11:10,12:50,eletrica,,0
2023201,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,11:00,eletrica,"C1-30,D1-02,D1-04",0
2023202,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,qua,11:10,12:50,eletrica,,0
2023202,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,11:00,eletrica,"C1-30,D1-02,D1-04",0
2023203,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,qua,11:10,12:50,eletrica,,0
2023203,PTC3313,Sistemas de Controle,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,11:00,eletrica,"C1-30,D1-02,D1-04",0
2023350,PCS3899,"Blockchain, Criptomoedas & Tecnologias Decentralizadas",,2023-08-31,2023-12-15,eletrica_crawler,qua,14:00,17:40,eletrica,C1-49,0
2023201,PSI3322,Eletrônica II,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,"D1-03,D1-04",0
2023201,PSI3322,Eletrônica II,,2023-08-07,2023-12-21,eletrica_crawler,sex,11:10,12:50,eletrica,"D1-03,D1-04",0
2023202,PSI3322,Eletrônica II,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,"D1-03,D1-04",0
2023202,PSI3322,Eletrônica II,,2023-08-07,2023-12-21,eletrica_crawler,sex,11:10,12:50,eletrica,"D1-03,D1-04",0
2023201,PSI3463,Laboratório de Fabricação de Circuitos Integrados,,2023-08-07,2023-12-21,eletrica_crawler,qua,14:00,17:40,eletrica,GD-04,0
2023201,PSI3422,Laboratório de Sistemas Eletrônicos,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,12:50,eletrica,GD-06,0
2023201,PEA3389,Laboratório de Eletricidade Geral II,,2023-08-07,2023-12-21,eletrica_crawler,qui,07:30,11:00,eletrica,A1-22,0
2023202,PEA3389,Laboratório de Eletricidade Geral II,,2023-08-07,2023-12-21,eletrica_crawler,qui,07:30,11:00,eletrica,A1-22,0
2023203,PEA3389,Laboratório de Eletricidade Geral II,,2023-08-07,2023-12-21,eletrica_crawler,qui,14:00,17:30,eletrica,,0
2023204,PEA3389,Laboratório de Eletricidade Geral II,,2023-08-07,2023-12-21,eletrica_crawler,qui,14:00,17:30,eletrica,,0
2023250,PCS3568,Sistemas de Computação de Alto Desempenho,,2023-08-07,2023-12-21,eletrica_crawler,qui,08:20,12:00,eletrica,B2-08,0
2023201,PEA3393,Laboratório de Eletricidade Geral I,,2023-08-07,2023-12-21,eletrica_crawler,qui,07:30,11:00,eletrica,B2-10,0
2023202,PEA3393,Laboratório de Eletricidade Geral I,,2023-08-07,2023-12-21,eletrica_crawler,qui,07:30,11:00,eletrica,B2-10,0
2023203,PEA3393,Laboratório de Eletricidade Geral I,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,16:40,eletrica,B2-10,0
2023201,PEA3440,Uso da Energia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,qui,15:00,16:40,eletrica,B2-10,0
2023201,PCS3589,Aspectos Legais em Tecnologia da Informação,,2023-08-07,2023-12-21,eletrica_crawler,qui,14:00,17:40,eletrica,B2-12,0
2023201,PRO3816,Fundamentos de Administração,,2023-05-02,2023-08-18,eletrica_crawler,qui,10:20,12:00,eletrica,B2-12,0
2023201,PSI3465,Inovação em Engenharia,,2023-08-07,2023-12-21,eletrica_crawler,qui,09:20,12:50,eletrica,,0
2023201,PEA3290,Eletrotécnica Aplicada I,,2023-08-07,2023-12-21,eletrica_crawler,qui,09:20,11:00,eletrica,C1-30,0
2023250,PTC3572,Dinâmica e Controle em Tempo Discreto,,2023-08-07,2023-12-21,eletrica_crawler,sex,14:00,17:40,eletrica,B2-03,0
2023250,PTC3492,Princípios da Formação e Processamento de Imagens Médicas,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,12:50,eletrica,B2-05,0
2023350,PCS3838,Inteligência Artificial,,2023-08-31,2023-12-15,eletrica_crawler,sex,08:20,12:00,eletrica,B2-08,0
2023290,PEA3346,Eletrotécnica Geral,,2023-08-07,2023-12-21,eletrica_crawler,sex,08:20,11:00,eletrica,B2-12,0
