,code,start_time,end_time,room,day_of_week
124,PCS3110,09:20,10:50,D1-02,qua
125,PCS3225,15:00,16:30,D1-02,qua
126,PSI3213,13:10,14:40,D1-02,qua
127,PTC3313,11:00,12:40,D1-02,qua
128,4323102?,07:30,14:40,D1-03,qua
129,PCS3213,15:00,16:30,D1-03,qua
130,PSI3262,16:50,18:30,D1-03,qua
131,PSI3322,09:20,10:50,D1-03,qua
132,PCS3225,15:00,16:30,D1-04,qua
133,PSI3213,13:10,14:40,D1-04,qua
134,PSI3322,09:20,10:50,D1-04,qua
135,PTC3313,11:00,12:40,D1-04,qua
136,PSI3463,14:00,18:20,GD-04,qua
137,PSI3482,07:30,09:00,GD-04,qua
138,PCS 3000,13:30,15:20,GD-05,qua
139,0323100,13:10,15:40,GD-06,qua
140,PCS3722,16:00,17:30,GD-06,qua
141,PSI3422,09:20,12:40,GD-06,qua
142,PEA3389,07:30,17:20,A1-22,qui
143,PTC3451,15:50,17:20,B2-01,qui
144,PTC3470,09:20,10:50,B2-01,qui
145,PTC3565,11:10,12:40,B2-01,qui
146,PTC3420,11:10,12:40,B2-03,qui
147,Platão de Dúvidas - PTC3213,17:00,17:50,B2-03,qui
148,PEA3550,16:40,18:20,B2-05,qui
149,PSI3572,13:10,14:40,B2-05,qui
150,PTC3441,09:20,10:50,B2-05,qui
151,PCS3424,14:00,15:30,B2-08,qui
152,PCS3568/3868,08:20,11:50,B2-08,qui
153,PSI5740,14:00,16:50,B2-09,qui
154,PTC3569,11:10,12:40,B2-09,qui
155,PEA 5831,18:00,20:00,B2-10,qui
156,PEA3393,07:30,10:50,B2-10,qui
157,PEA3440,15:00,16:30,B2-10,qui
158,PCS3589/3889,14:00,17:30,B2-12,qui
159,PRO3816,10:20,11:50,B2-12,qui
160,PTC2020,08:20,09:50,B2-12,qui
161,PSI3465,07:30,10:50,C1-05,qui
162,PEA3290,09:20,10:50,C1-30,qui
163,Defesa Qualificação Mestrado Fernando,08:00,12:50,CAEEL (Defesa),qui
164,PEA3294,07:30,09:00,D1-01,qui
165,PTC3213,09:20,10:50,D1-01,qui
166,PTC3360,11:10,12:40,D1-01,qui
167,PTC3213,09:20,10:50,D1-02,qui
168,PTC3360,11:10,12:40,D1-02,qui
169,4323102?,07:30,14:40,D1-03,qui
170,PTC3213,09:20,10:50,D1-04,qui
171,PTC3360,11:10,12:40,D1-04,qui
172,PSI3432,07:30,09:00,GD-04,qui
173,PSI3452,09:20,12:40,GD-04,qui
174,PSI3483,14:00,15:30,GD-04,qui
175,Aula de dúvidas de matemática,09:30,11:20,GD-05,qui
176,0323100,08:20,10:50,GD-06,qui
177,PSI3542,16:50,18:20,GD-06,qui
178,PEA3201 Pv,13:10,16:30,A1-22,sex
179,PEA3392PV,07:30,10:50,A1-22,sex
180,PTC3421,09:20,10:50,B2-01,sex
181,PTC3414,07:30,09:00,B2-03,sex
182,PTC3417,11:10,12:40,B2-03,sex
183,PTC3572,14:00,17:30,B2-03,sex
184,PTC3575,09:20,10:50,B2-03,sex
185,PTC3492,09:20,12:40,B2-05,sex
186,PCS3838,08:20,11:50,B2-08,sex
187,PCS3446,14:00,15:30,B2-09,sex
188,PSI3442,09:20,10:50,B2-09,sex
189,PEA3393,13:10,16:30,B2-10,sex
190,PEA3521,07:30,09:00,B2-10,sex
191,PEA5730,17:00,19:50,B2-10,sex
192,PEA3346,08:20,10:50,B2-12,sex
193,PEA3410,13:10,14:40,B2-12,sex
194,PEA3100,15:00,16:30,C1-30,sex
195,PTC3313,09:20,10:50,C1-30,sex
196,PCS3724,08:20,09:50,C1-49,sex
197,PCS3746,10:20,11:50,C1-49,sex
198,PCS3110,13:10,14:40,D1-01,sex
199,PTC3314,07:30,09:00,D1-01,sex
200,PCS3110,13:10,14:40,D1-02,sex
201,PTC3313,09:20,10:50,D1-02,sex
202,PTC3314,07:30,09:00,D1-02,sex
203,4323102?,13:10,14:40,D1-03,sex
204,PSI3024,07:30,10:50,D1-03,sex
205,PSI3322,11:10,12:40,D1-03,sex
206,PCS3110,13:10,14:40,D1-04,sex
207,PSI3322,11:10,12:40,D1-04,sex
208,PTC3313,09:20,10:50,D1-04,sex
209,PCS3115,13:10,14:40,GD-06,sex
