,code,room,start_time,end_time,date,day_of_week
182,PSI3024,CAEEL (Defesa),09:20,10:50,2023-08-11,Friday
183,PTC3313,CAEEL (Reunião),09:20,10:50,2023-08-11,Friday
184,PCS3746,B2-04,10:20,11:50,2023-08-11,Friday
185,PTC3417,B2-03,11:10,12:40,2023-08-11,Friday
186,PSI3322,CAEEL (Reunião),11:10,12:40,2023-08-11,Friday
187,PSI3322,D1-01,11:10,12:40,2023-08-11,Friday
188,PEA3201 Pv,A1-22,13:10,16:30,2023-08-11,Friday
189,PEA3294PV,A2-37,13:10,16:30,2023-08-11,Friday
190,PEA3393,B2-10,13:10,16:30,2023-08-11,Friday
191,PEA3410,B2-12,13:10,14:40,2023-08-11,Friday
192,PCS3110,D1-01,13:10,14:40,2023-08-11,Friday
193,PCS3110,D1-02,13:10,14:40,2023-08-11,Friday
194,4323102?,D1-03,13:10,14:40,2023-08-11,Friday
195,PCS3110,D1-04,13:10,14:40,2023-08-11,Friday
196,PCS3115,GD-06,13:10,14:40,2023-08-11,Friday
197,PTC3572,A2-44,14:00,17:30,2023-08-11,Friday
198,PCS3446,B2-05,14:00,15:30,2023-08-11,Friday
199,PEA3100,B2-06,15:00,16:30,2023-08-11,Friday
200,PEA5730,B2-09,17:00,19:50,2023-08-11,Friday
